method,vs,seed,metric,mean_difference,ci_95_low,ci_95_high,p_bootstrap_two_sided,n_groups,n_subjects,groups_a_better,groups_b_better
reranker_aux_valalpha,medgrounder,2026,set_f1_optimal_0_3,-0.03954545454545454,-0.08898809051342092,0.009150735294117642,0.105,220,170,17,34
reranker_aux_valalpha,medgrounder,2026,set_f1_optimal_0_5,0.006969696969696965,-0.051774462515612955,0.06741284278014686,0.853,220,170,33,31
clueground_legacy_paper,medgrounder,13,coverage_iou,0.004424200607061034,-0.019732119916123222,0.027262464953230727,0.699,220,170,112,107
clueground_legacy_paper,medgrounder,13,exact_union_iou,0.006287104743998289,-0.01670707675887068,0.030317878848351878,0.602,220,170,115,104
clueground_legacy_paper,medgrounder,13,set_f1_optimal_0_3,-0.024393939393939395,-0.08300899811979585,0.028815934203289824,0.379,220,170,21,30
clueground_legacy_paper,medgrounder,13,set_f1_optimal_0_5,-0.013181818181818182,-0.06843533251733987,0.044206388778088,0.649,220,170,30,33
clueground_legacy_paper,medgrounder,42,coverage_iou,0.0017184576517738203,-0.024044744709444624,0.02686758718413204,0.887,220,170,121,97
clueground_legacy_paper,medgrounder,42,exact_union_iou,0.006711469486372489,-0.019231211159422362,0.03147119426221634,0.643,220,170,120,98
clueground_legacy_paper,medgrounder,42,set_f1_optimal_0_3,-0.03590909090909091,-0.1001918885518481,0.02946081815693881,0.256,220,170,23,36
clueground_legacy_paper,medgrounder,42,set_f1_optimal_0_5,0.03257575757575757,-0.024360884165694045,0.09044008760037539,0.267,220,170,34,27
clueground_legacy_paper,medgrounder,2026,coverage_iou,0.0046326320106610955,-0.0205528721492014,0.028787466883615935,0.69,220,170,108,110
clueground_legacy_paper,medgrounder,2026,exact_union_iou,0.008427081180574137,-0.01601304051859295,0.03202016313962152,0.497,220,170,109,109
clueground_legacy_paper,medgrounder,2026,set_f1_optimal_0_3,-0.023787878787878792,-0.07951169871794873,0.029390309500165482,0.398,220,170,21,34
clueground_legacy_paper,medgrounder,2026,set_f1_optimal_0_5,0.0045454545454545435,-0.05583536669582433,0.06307019689372625,0.882,220,170,30,31
