method,seed,metric,point_estimate,ci_95_low,ci_95_high,n_clusters,n_rows,bootstrap_reps,bootstrap_unit
reranker_aux_valalpha,2026,coverage_iou,0.5312252215363304,0.49660876799904247,0.5704317909496268,170,220,2000,subject_id
reranker_aux_valalpha,2026,exact_union_iou,0.5343399061475989,0.5005969429214836,0.5729802751982743,170,220,2000,subject_id
reranker_aux_valalpha,2026,set_f1_optimal_0_3,0.7587878787878788,0.7102436022679386,0.8120257320598214,170,220,2000,subject_id
reranker_aux_valalpha,2026,set_f1_optimal_0_5,0.605,0.5438955225066335,0.6749258237110349,170,220,2000,subject_id
reranker_noaux_pooledalpha,13,coverage_iou,0.5119498202888093,0.47174214179547846,0.5519218703859025,170,220,2000,subject_id
reranker_noaux_pooledalpha,13,exact_union_iou,0.5168324386140092,0.4777000189676531,0.5563233671465173,170,220,2000,subject_id
reranker_noaux_pooledalpha,13,set_f1_optimal_0_3,0.7548484848484849,0.6969085312599247,0.8153540051679586,170,220,2000,subject_id
reranker_noaux_pooledalpha,13,set_f1_optimal_0_5,0.5942424242424243,0.5288482076750066,0.6636971126357917,170,220,2000,subject_id
reranker_noaux_pooledalpha,42,coverage_iou,0.5321099933213327,0.4946229173514703,0.5682000108124028,170,220,2000,subject_id
reranker_noaux_pooledalpha,42,exact_union_iou,0.5365590606189112,0.49979536952167736,0.5726162839177356,170,220,2000,subject_id
reranker_noaux_pooledalpha,42,set_f1_optimal_0_3,0.7816666666666666,0.7328642686372528,0.8317631120844563,170,220,2000,subject_id
reranker_noaux_pooledalpha,42,set_f1_optimal_0_5,0.6286363636363637,0.5563937979634002,0.6976150568598142,170,220,2000,subject_id
reranker_noaux_pooledalpha,2026,coverage_iou,0.5404988322823493,0.5047982107352484,0.5761968047597101,170,220,2000,subject_id
reranker_noaux_pooledalpha,2026,exact_union_iou,0.5432811443067177,0.5081343887611031,0.5785020374654162,170,220,2000,subject_id
reranker_noaux_pooledalpha,2026,set_f1_optimal_0_3,0.7792424242424243,0.7255091597055661,0.8295948259713012,170,220,2000,subject_id
reranker_noaux_pooledalpha,2026,set_f1_optimal_0_5,0.6125757575757577,0.5462935974090682,0.6780878756114603,170,220,2000,subject_id
reranker_noaux_valalpha,13,coverage_iou,0.5457197029594641,0.5097664946788694,0.581899516143933,170,220,2000,subject_id
reranker_noaux_valalpha,13,exact_union_iou,0.5491163614166283,0.5138083704107801,0.5844230227466873,170,220,2000,subject_id
reranker_noaux_valalpha,13,set_f1_optimal_0_3,0.8071212121212121,0.7568872946447622,0.854474490397078,170,220,2000,subject_id
reranker_noaux_valalpha,13,set_f1_optimal_0_5,0.6351515151515152,0.5645088292547276,0.7038791590354089,170,220,2000,subject_id
reranker_noaux_valalpha,42,coverage_iou,0.5392932499395547,0.5026109890212324,0.5754483793005093,170,220,2000,subject_id
reranker_noaux_valalpha,42,exact_union_iou,0.5408063006146935,0.5044332820956657,0.5763678680446629,170,220,2000,subject_id
reranker_noaux_valalpha,42,set_f1_optimal_0_3,0.791969696969697,0.741662037037037,0.8423994180161943,170,220,2000,subject_id
reranker_noaux_valalpha,42,set_f1_optimal_0_5,0.6298484848484849,0.5611889850700592,0.6950263657776764,170,220,2000,subject_id
reranker_noaux_valalpha,2026,coverage_iou,0.5407830459868764,0.5054463680861065,0.576672309040009,170,220,2000,subject_id
reranker_noaux_valalpha,2026,exact_union_iou,0.5400896093699774,0.5060845778355362,0.5759700555875678,170,220,2000,subject_id
reranker_noaux_valalpha,2026,set_f1_optimal_0_3,0.7627272727272728,0.7106075851393189,0.8171579259557704,170,220,2000,subject_id
reranker_noaux_valalpha,2026,set_f1_optimal_0_5,0.608939393939394,0.541176244691425,0.677025750781356,170,220,2000,subject_id
